Price,Close,High,Low,Open,Volume,MA7,MA30,MA200,Volatility
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,
Date,,,,,,,,,
2022-06-04,29832.9140625,29930.564453125,29500.005859375,29706.138671875,16588370958,30395.504464285714,30389.024934895835,41957.53049804687,1846.9499945367768
2022-06-05,29906.662109375,30117.744140625,29574.44921875,29835.1171875,17264085441,30461.319475446428,30184.549609375,41805.22375,1508.1380881935318
2022-06-06,31370.671875,31693.291015625,29894.1875,29910.283203125,31947336829,30410.502511160714,30046.840234375,41677.36642578125,1152.555242462168
2022-06-07,31155.478515625,31489.68359375,29311.68359375,31371.7421875,40770974039,30319.526506696428,29950.047330729165,41542.545927734376,897.7285389231961
2022-06-08,30214.35546875,31253.69140625,29944.404296875,31151.48046875,30242059107,30378.8515625,29947.294075520833,41395.131728515626,896.7540528467713
2022-06-09,30111.998046875,30609.310546875,30020.265625,30215.279296875,21692004719,30328.067243303572,29916.93046875,41252.0393359375,874.2167824228685
2022-06-10,29083.8046875,30245.80859375,28978.146484375,30110.330078125,29867476527,30239.412109375,29921.845442708334,41116.0119140625,868.9121424003481
2022-06-11,28360.810546875,29401.916015625,28236.212890625,29084.666015625,27246574439,30029.11160714286,29898.947395833333,40969.970595703126,901.192733147705
2022-06-12,26762.6484375,28502.685546875,26762.6484375,28373.513671875,34163220274,29579.966796875,29814.9322265625,40822.38170898437,1063.4629986801674
2022-06-13,22487.388671875,26795.58984375,22141.2578125,26737.578125,68204556440,28310.926339285714,29561.136328125,40648.44525390625,1706.7431167048426
2022-06-14,22206.79296875,23018.951171875,20950.818359375,22487.986328125,50913575242,27032.54268973214,29257.858984375,40491.630390625,2139.624412285142
2022-06-15,22572.83984375,22642.671875,20178.376953125,22196.73046875,54912007015,25940.897600446428,29014.856380208334,40330.41919921875,2458.7189172745216
2022-06-16,20381.650390625,22868.921875,20265.2265625,22576.3046875,31183975654,24550.84793526786,28680.049479166668,40146.085166015626,2903.5775471683282
2022-06-17,20471.482421875,21243.3125,20326.51953125,20385.71875,27132421514,23320.516183035714,28405.08984375,39959.40974609375,3267.4095290816654
2022-06-18,19017.642578125,20736.041015625,17708.623046875,20473.42578125,42009436760,21985.777901785714,28028.533463541666,39769.47083007813,3666.3808032717347
2022-06-19,20553.271484375,20683.822265625,18067.15234375,19010.90234375,35329942625,21098.724051339286,27740.284505208332,39586.088046875,3903.318423437108
2022-06-20,20599.537109375,20913.322265625,19689.169921875,20553.37109375,30818458597,20829.03097098214,27445.8615234375,39406.69665039062,4099.48695447573
2022-06-21,20710.59765625,21620.62890625,20415.0625,20594.294921875,28970212744,20615.28878348214,27125.4240234375,39242.258408203124,4240.076830494057
2022-06-22,19987.029296875,20835.75,19848.078125,20719.4140625,28574793478,20245.887276785714,26821.694661458332,39096.1900390625,4416.519851344358
2022-06-23,21085.876953125,21135.76171875,19950.1171875,19986.607421875,26188097173,20346.491071428572,26536.0376953125,38954.775185546874,4503.195984891017
2022-06-24,21231.65625,21472.91796875,20777.51171875,21084.6484375,24957784918,20455.087332589286,26258.347526041667,38808.02034179687,4566.553522551067
2022-06-25,21502.337890625,21520.9140625,20964.5859375,21233.609375,18372538715,20810.043805803572,25999.51796875,38662.0316015625,4609.97952465015
2022-06-26,21027.294921875,21783.724609375,21016.26953125,21496.494140625,18027170497,20877.76143973214,25746.175325520835,38514.64409179687,4669.03324868138
2022-06-27,20735.478515625,21478.08984375,20620.19921875,21028.23828125,20965695707,20897.181640625,25476.861263020834,38379.96087890625,4718.673030554415
2022-06-28,20280.634765625,21164.423828125,20228.8125,20731.544921875,21381535161,20835.758370535714,25171.350520833334,38245.147529296875,4749.436714681847
2022-06-29,20104.0234375,20364.15625,19937.791015625,20281.169921875,23552740328,20852.471819196428,24783.93828125,38098.85510742188,4669.652315925219
2022-06-30,19784.7265625,20141.16015625,18729.65625,20108.3125,26267239923,20666.593191964286,24383.685481770834,37947.28706054688,4561.581307366402
2022-07-01,19269.3671875,20632.671875,19073.708984375,19820.470703125,30767551159,20386.266183035714,24032.695052083334,37809.946494140626,4535.555401554916
2022-07-02,19242.255859375,19371.748046875,19027.08203125,19274.8359375,18100418740,20063.397321428572,23658.520638020833,37673.094609375,4448.588192198923
2022-07-03,19297.076171875,19558.26953125,18966.951171875,19242.095703125,16390821947,19816.223214285714,23311.61015625,37525.09637695312,4365.8842674660555
2022-07-04,20231.26171875,20258.748046875,19063.06640625,19297.314453125,21594638208,19744.192243303572,22991.555078125,37387.92555664063,4220.865665166441
2022-07-05,20190.115234375,20635.466796875,19341.232421875,20225.353515625,26715546990,19731.260881696428,22667.670182291666,37257.86541015625,4040.9021658709817
2022-07-06,20548.24609375,20595.529296875,19823.51171875,20194.619140625,24598943708,19794.721261160714,22306.92265625,37126.36275390625,3706.3941757153866
2022-07-07,21637.587890625,21771.81640625,20296.103515625,20547.814453125,25814972520,20059.41573660714,21989.659635416665,37001.01561523438,3308.8948529467884
2022-07-08,21731.1171875,22314.94140625,21257.453125,21637.154296875,49899834488,20411.094308035714,21706.885026041666,36875.269814453124,2921.6029347578287
2022-07-09,21592.20703125,21877.138671875,21445.95703125,21716.828125,29641127858,20746.801618303572,21422.8919921875,36738.547783203125,2452.8998489075907
2022-07-10,20860.44921875,21591.080078125,20727.123046875,21591.080078125,28688807249,20970.140625,21148.780143229167,36599.70747070313,1981.443672316803
2022-07-11,19970.556640625,20856.353515625,19924.5390625,20856.353515625,24150249025,20932.897042410714,20869.105013020835,36445.63755859375,1448.9679382429892
2022-07-12,19323.9140625,20043.4453125,19308.53125,19970.474609375,25810220018,20809.15401785714,20621.147200520834,36288.14615234375,959.4359544415966
2022-07-13,20212.07421875,20223.052734375,18999.953125,19325.97265625,33042430345,20761.129464285714,20545.303385416668,36137.0572265625,894.5605377619582
2022-07-14,20569.919921875,20789.89453125,19689.2578125,20211.466796875,31158743333,20608.60546875,20490.740950520834,35985.85924804687,837.8475022793519
2022-07-15,20836.328125,21138.244140625,20397.0,20573.15625,25905575359,20480.778459821428,20432.8572265625,35836.838798828125,743.7427160859461
2022-07-16,21190.31640625,21514.404296875,20518.8984375,20834.103515625,24302954056,20423.36551339286,20459.812760416666,35704.84610351562,756.3699115280042
2022-07-17,20779.34375,21600.640625,20778.1796875,21195.041015625,22927802083,20411.77901785714,20470.0748046875,35576.51926757812,758.6188092481802
2022-07-18,22485.689453125,22633.033203125,20781.912109375,20781.912109375,39974475562,20771.08370535714,20585.6763671875,35453.05708984375,793.1126770249937
2022-07-19,23389.43359375,23666.962890625,21683.40625,22467.849609375,48765202697,21351.872209821428,20680.215104166666,35338.47203125,943.8308067375424
2022-07-20,23231.732421875,24196.818359375,23009.94921875,23393.19140625,42932549127,21783.251953125,20767.954947916667,35216.19663085938,1052.197445069991
2022-07-21,23164.62890625,23388.322265625,22431.1484375,23233.201171875,33631012204,22153.924665178572,20849.755989583333,35095.29368164062,1139.365799545679
2022-07-22,22714.978515625,23671.927734375,22603.416015625,23163.751953125,31421555646,22422.303292410714,20940.687630208333,34976.57798828125,1176.3939516868459
2022-07-23,22465.478515625,22977.2109375,22002.91015625,22706.984375,24021799169,22604.469308035714,20986.674348958335,34859.417509765626,1208.7845578715912
2022-07-24,22609.1640625,22974.001953125,22306.83984375,22465.509765625,23565495303,22865.872209821428,21032.591276041665,34754.61831054687,1244.059663249971
2022-07-25,21361.701171875,22649.12109375,21361.642578125,22607.15625,35574561406,22705.30245535714,21027.903385416666,34645.62216796875,1242.4925043569206
2022-07-26,21239.75390625,21361.12109375,20776.81640625,21361.12109375,28624673855,22398.20535714286,21034.9853515625,34544.03142578125,1243.0942584136105
2022-07-27,22930.548828125,22986.529296875,21070.806640625,21244.169921875,31758955233,22355.179129464286,21108.154361979166,34450.01446289063,1288.624796922592
2022-07-28,23843.88671875,24110.470703125,22722.265625,22933.640625,40212386158,22452.215959821428,21226.929427083334,34359.675888671874,1371.2853209594698
2022-07-29,23804.6328125,24294.787109375,23481.173828125,23845.212890625,35887249746,22607.880859375,21350.283072916667,34269.592744140624,1431.8956899066575
2022-07-30,23656.20703125,24572.580078125,23580.5078125,23796.818359375,28148218301,22777.984933035714,21479.332421875,34174.19450195313,1460.1150027538113
2022-07-31,23336.896484375,24121.642578125,23275.703125,23652.0703125,23553591896,22881.946707589286,21614.916731770834,34071.1334765625,1436.4856970036356
2022-08-01,23314.19921875,23464.787109375,22890.796875,23336.71875,25849159141,23160.875,21750.648177083334,33974.74662109375,1396.3819526256852
2022-08-02,22978.1171875,23415.041015625,22710.083984375,23308.43359375,28389250717,23409.21261160714,21873.349544270834,33874.1387109375,1333.6699430446984
2022-08-03,22846.5078125,23578.650390625,22747.8359375,22981.302734375,26288169966,23397.20675223214,21960.5244140625,33772.4842578125,1307.8567732804174
2022-08-04,22630.95703125,23198.009765625,22485.701171875,22848.21484375,25120229769,23223.931082589286,22041.885807291666,33670.0696484375,1269.275272234466
2022-08-05,23289.314453125,23422.828125,22612.177734375,22626.833984375,28881249043,23150.31417410714,22133.254752604167,33575.263466796874,1256.6430636342523
2022-08-06,22961.279296875,23326.5625,22961.279296875,23291.423828125,15978259885,23051.03878348214,22177.377799479167,33478.19169921875,1261.8669201638097
2022-08-07,23175.890625,23359.009765625,22894.556640625,22963.505859375,15886817043,23028.037946428572,22225.5369140625,33385.34951171875,1271.7790406831773
2022-08-08,23809.486328125,24203.689453125,23176.546875,23179.52734375,28575544847,23098.79324776786,22299.446223958334,33300.99485351562,1297.8649223652362
2022-08-09,23164.318359375,23898.615234375,22982.0,23811.484375,23555719219,23125.393415178572,22376.241861979168,33234.52986328125,1277.7878469627983
2022-08-10,23947.642578125,24127.4140625,22771.51953125,23162.8984375,32837431722,23282.698381696428,22508.811393229167,33179.11682617188,1224.8047005686444
2022-08-11,23957.529296875,24822.62890625,23900.99609375,23948.345703125,37127036580,23472.20870535714,22663.265234375,33117.52044921875,1094.5599488510354
2022-08-12,24402.818359375,24412.56640625,23657.265625,23957.203125,27265804688,23631.280691964286,22802.956705729168,33056.262900390626,1036.8400174498959
2022-08-13,24424.068359375,24860.05078125,24346.115234375,24402.1875,22987346289,23840.250558035714,22931.4283203125,32993.61322265625,988.2495928401264
2022-08-14,24319.333984375,24974.9140625,24206.259765625,24429.056640625,22994133555,24003.599609375,23047.528515625,32930.949287109375,936.8866291054889
2022-08-15,24136.97265625,25135.58984375,23839.775390625,24318.31640625,35123501685,24050.383370535714,23145.750390625,32865.942978515624,888.6868602641998
2022-08-16,23883.291015625,24228.416015625,23733.5,24126.13671875,27753685646,24153.09375,23249.215299479165,32796.4377734375,777.3984443351587
2022-08-17,23335.998046875,24407.05859375,23243.353515625,23881.31640625,30931623076,24065.715959821428,23277.558919270832,32722.426865234374,763.9859314487118
2022-08-18,23212.73828125,23563.83203125,23177.6015625,23341.0390625,23747613147,23959.317243303572,23271.669075520833,32648.902548828126,763.7747832117993
2022-08-19,20877.552734375,23213.3125,20868.84765625,23213.3125,40509610260,23455.707868303572,23193.196419270833,32560.8746875,880.0992312763864
2022-08-20,21166.060546875,21350.806640625,20856.73046875,20872.841796875,27595671000,22990.278180803572,23126.577473958332,32472.988623046876,954.8061055382802
2022-08-21,21534.12109375,21668.845703125,21103.197265625,21160.392578125,23102307723,22592.390625,23087.215559895834,32395.894306640625,995.819002527085
2022-08-22,21398.908203125,21531.462890625,20939.18359375,21531.462890625,31666498758,22201.23856026786,23051.663216145833,32317.11583984375,1036.9703017120598
2022-08-23,21528.087890625,21646.203125,20955.138671875,21401.044921875,31878280659,21864.78097098214,23015.62734375,32217.251904296874,1071.100522358932
2022-08-24,21395.01953125,21783.076171875,21195.005859375,21526.455078125,31962253368,21587.49832589286,23016.737955729168,32117.021181640626,1069.3422799195653
2022-08-25,21600.904296875,21789.63671875,21362.44140625,21395.458984375,31028679593,21357.236328125,23028.776302083334,32012.96353515625,1050.5148068190585
2022-08-26,20260.01953125,21804.908203125,20199.482421875,21596.0859375,42326789564,21269.01729910714,22939.758658854167,31895.06220703125,1165.9316330617744
2022-08-27,20041.73828125,20340.775390625,19890.5234375,20262.48046875,30116729776,21108.399832589286,22813.020377604167,31774.678671875,1266.5687753565812
2022-08-28,19616.814453125,20139.0546875,19616.814453125,20041.03515625,24366810591,20834.498883928572,22673.426432291668,31651.068759765625,1379.2744272228579
2022-08-29,20297.994140625,20357.462890625,19600.78515625,19615.154296875,32637854078,20677.225446428572,22561.486002604168,31534.7331640625,1432.0282396413859
2022-08-30,19796.80859375,20542.64453125,19617.640625,20298.611328125,34483360283,20429.899832589286,22443.483072916668,31421.67751953125,1509.6800358893654
2022-08-31,20049.763671875,20420.990234375,19799.58203125,19799.58203125,33225232872,20237.72042410714,22334.6685546875,31310.703994140626,1561.5135064628241
2022-09-01,20127.140625,20198.390625,19653.96875,20050.498046875,30182031010,20027.182756696428,22239.636002604166,31200.352119140625,1607.092323311182
2022-09-02,19969.771484375,20401.568359375,19814.765625,20126.072265625,29123998928,19985.71875,22143.744791666668,31087.26638671875,1654.750362890941
2022-09-03,19832.087890625,20037.009765625,19698.35546875,19969.71875,23613051457,19955.768694196428,22050.449153645834,30963.550810546876,1704.4872190846525
2022-09-04,19986.712890625,19999.689453125,19636.81640625,19832.470703125,25245861652,20008.611328125,21940.362434895833,30843.675078125,1728.2008911438713
2022-09-05,19812.37109375,20031.16015625,19673.046875,19988.7890625,28813460025,19939.23660714286,21835.398828125,30740.046875,1759.40062708368
2022-09-06,18837.66796875,20155.26953125,18800.171875,19817.724609375,43403978910,19802.21651785714,21690.79140625,30634.08033203125,1822.572634991822
2022-09-07,19290.32421875,19427.171875,18644.466796875,18837.68359375,35239757134,19693.725167410714,21540.152669270832,30529.921171875,1828.1701135546089
2022-09-08,19329.833984375,19417.3515625,19076.71484375,19289.94140625,32194477850,19579.82421875,21412.3365234375,30434.413447265626,1844.6704073847586
2022-09-09,21381.15234375,21439.41015625,19310.962890625,19328.140625,48469528171,19781.450055803572,21326.786848958334,30355.942802734375,1781.46676977508
2022-09-10,21680.5390625,21760.275390625,21168.72265625,21376.912109375,36913738894,20045.514508928572,21250.887174479165,30272.915361328123,1712.6970431447476
2022-09-11,21769.255859375,21770.552734375,21406.9453125,21678.54296875,34493951963,20300.163504464286,21163.1017578125,30195.2787890625,1609.9844848694177
2022-09-12,22370.44921875,22439.181640625,21603.896484375,21770.1484375,50212088965,20665.60323660714,21094.647786458332,30115.46798828125,1506.9111766284914
2022-09-13,20296.70703125,22673.8203125,20062.669921875,22371.48046875,51091116622,20874.03738839286,20960.560221354168,30020.8804296875,1384.0393363643027
2022-09-14,20241.08984375,20467.201171875,19793.396484375,20184.5546875,37872380889,21009.86104910714,20830.6974609375,29926.56013671875,1252.218627282785
2022-09-15,19701.2109375,20318.166015625,19636.734375,20242.2890625,36389011503,21062.914899553572,20691.294791666667,29836.517265625,1127.21678139378
2022-09-16,19772.583984375,19870.62890625,19400.076171875,19704.005859375,30123362273,20833.11941964286,20572.514322916668,29719.414013671874,1021.7331918084083
2022-09-17,20127.576171875,20162.53125,19777.033203125,19777.033203125,24957448100,20611.267578125,20469.6755859375,29598.2787109375,894.1213366597669
2022-09-18,19419.505859375,20127.234375,19387.4921875,20127.234375,31254779144,20275.589006696428,20421.0740234375,29475.755654296874,910.6603383881711
2022-09-19,19544.12890625,19639.48046875,18390.318359375,19418.572265625,40177002624,19871.828962053572,20367.009635416667,29361.217353515625,913.0491617684806
2022-09-20,18890.7890625,19602.45703125,18813.455078125,19545.591796875,36791346508,19670.983537946428,20278.898567708333,29259.983271484376,924.0143975316101
2022-09-21,18547.400390625,19674.630859375,18290.314453125,18891.283203125,46363793975,19429.027901785714,20183.848307291668,29155.71734375,951.0956185329244
2022-09-22,19413.55078125,19456.91015625,18415.591796875,18534.650390625,41135767926,19387.93359375,20113.363736979165,29060.68517578125,926.0639617040756
2022-09-23,19297.638671875,19464.671875,18617.552734375,19412.400390625,38896078052,19320.08426339286,20043.451041666667,28966.863173828126,904.8980059066162
2022-09-24,18937.01171875,19310.197265625,18861.974609375,19296.990234375,26149643168,19150.00362723214,19954.654622395832,28867.861884765625,877.0714366099919
2022-09-25,18802.09765625,19134.732421875,18696.46875,18936.310546875,23359966112,19061.80245535714,19906.0572265625,28751.957744140625,899.6678212424375
2022-09-26,19222.671875,19274.873046875,18721.28515625,18803.900390625,44148798321,19015.880022321428,19878.755013020833,28650.883798828127,907.7996766147783
2022-09-27,19110.546875,20338.455078125,18915.66796875,19221.83984375,58571439619,19047.273995535714,19861.879427083335,28552.461669921875,917.4908560547027
2022-09-28,19426.720703125,19688.34375,18553.296875,19104.62109375,53071298734,19172.891183035714,19832.836979166666,28455.07521484375,916.9995640884778
2022-09-29,19573.05078125,19589.265625,18924.353515625,19427.779296875,41037843771,19195.676897321428,19825.378385416665,28363.6921484375,918.2119002876465
